subjectId,total,subjectParentId,subject,parentName
6466,1023097,760,Пленки защитные для авто,Автомобильные товары
2747,1024854,3,Пленка багажная,Аксессуары
3676,1486331,1077,Упаковочная пленка,Хозяйственные товары
453,1473227,6258,Защитная пленка,Смартфоны и аксессуары
3756,174308,1077,Пакеты упаковочные,Хозяйственные товары
7311,4746,2050,Пленки изоляционные,Строительные материалы
1288,465,3,Чехлы для чемоданов,Аксессуары
2101,2837,49,Пленка для обертывания,Красота
2552,1356,1077,Пленка пищевая,Хозяйственные товары
1536,6306,8693,Наволочки декоративные,Текстиль для дома
390,6306,6258,Чехлы для телефонов,Смартфоны и аксессуары
2825,6306,200,Аксессуары для бижутерии,Бижутерия
1291,6306,1284,Ткани для рукоделия,Рукоделие
267,6306,7,Игровые наборы,Игрушки
4751,6306,5038,Настольные игры для взрослых,Товары для взрослых
24,6306,200,Кольца,Бижутерия
3742,6306,739,Пяткоудерживатели,Аксессуары для обуви
1056,6306,7,Мячики,Игрушки
297,6306,200,Брелоки,Бижутерия
4265,6306,6119,Перчатки рабочие,Спецодежда и СИЗы
4143,6306,571,Наклейки для творчества,Канцелярские товары
2865,11652,4268,Презервативы,Здоровье
947,11652,257,Подарочные пакеты,Для праздника
957,6306,200,Шармы-подвески,Бижутерия
3905,6306,1284,Формы для мыла,Рукоделие
336,6306,8693,Подушки,Текстиль для дома
3924,6306,1605,Перчатки для дайвинга,Спортивные аксессуары
3797,6306,760,Чехлы для акпп,Автомобильные товары
731,6306,723,Игрушки для животных,Товары для животных
1757,6306,49,Вакуумные банки,Красота
2915,11652,6943,Семена,Все для садоводства
1904,6306,1284,Пряжа,Рукоделие
2547,118986,7,Игрушки антистресс,Игрушки
4599,6306,4607,Комбинезоны для малышей,Одежда для малышей
120,6306,7,Настольные игры,Игрушки
381,11652,786,Книги,Книжная продукция и диски
7202,591,6943,Пленки для парника,Все для садоводства
7641,2372,8555,Пленки самоклеящиеся,Отделочные материалы
2783,591,6943,Укрывной материал для растений,Все для садоводства
804,5346,1284,Наборы для поделок,Рукоделие
1480,5346,571,Конверты бумажные,Канцелярские товары
358,50807,49,Шампуни,Красота
5863,50807,571,Пакеты почтовые,Канцелярские товары
4938,50807,571,Сейф-пакеты,Канцелярские товары
3971,925,6260,Аксессуары для виниловых проигрывателей,Телевизоры и аудиотехника
