keyword,total
Почтовые коробки,11138
Архивные коробки ,5173
Четырехклапанные,16145
Самосборные коробки,32038
Бело-бурые коробки,2485
Белые коробки,31906
Для переезда,76910
Пакеты полиэтиленовые,91259
Почтовые,52806
Курьерские,30628
БОПП пакеты,9018
Пузырчатые пакеты,756
С бегунком слайдеры,7950
Пакеты с замком зип-лок,12193
Дой-пак,72798
С воздушной подушкой,2473
Пакеты Майка,3817
Пакеты фасовочные полиэтиленовые,12214
Самоклеящиеся конверты,9378
Пузырчатые пленки,115424
Двухслойная,22341
Трехслойная,102093
Клейкая лента,36178
Прозрачная,118552
Цветная,111060
С надписью,113224
Специальная,33043
Диспенсеры,32937
Гофрокартон,27026
Гофрокартон в листах,5866
Гофрокартон рулонный,114
Бумага упаковочная,27198
Крафтовая бумага,11154
Бумага тишью,6789
Пищевая бумага,13457
Наполнители,24796
Крафт наполнитель ,884
Цветной наполнитель,732
Бумажный наполнитель на заказ,67
Для упаковки подарков,116807
Атласная лента,54790
Шпагат,11770
Бумага Тишью,6789
Пленка для цветов,117574
Термоэтикетки,6075
Пленки,119762
Стрейч пленка рулонная,135
БОПП пленка,5795
Канцелярия,117042
Канцелярский нож,10460
Шпагат,11770
Маркеры и ручки,34505
Кассовые ленты,1281
Файлы для бумаги,12666
Краска штемпельная,6730
Бумага для принтера,31135
Ножницы,52218
Дополнительно,32801
Хозяйственные товары,113510
Перчатки хозяйственные,17047
Маски одноразовые,1912
Прочее,113724
Разное,274943
Бейсболки,110955
Упаковка для маркетплейсов,2375
Самосборные коробки,32038
Пакеты с бегунком,4653
Зип-лок пакеты,56079
Четырехклапанные коробки,900
БОПП пакеты,9018
Пузырчатые пакеты,756
Пузырчатые пленки,115424
Стрейч пленка,4074
Клейкие ленты Скотч,15880
Наполнители,24796
